audit_id,paper_id,repo_url,repro_status,green_yellow_red,blockers,notes,read_priority
RA0001,openalex:W4391160310,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0002,openalex:W4395067202,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0003,openalex:W4395067252,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0004,openalex:W4398195161,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0005,openalex:W4398195179,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0006,openalex:W4399832694,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0007,openalex:W4399834249,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0008,openalex:W4405534231,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0009,openalex:W4390975901,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0010,openalex:W4391528827,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0011,openalex:W4392193048,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0012,openalex:W4392947532,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0013,openalex:W4394683903,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0014,openalex:W4394964969,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0015,openalex:W4400324908,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0016,openalex:W4400889241,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0017,openalex:W4414457879,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0018,openalex:W4414756182,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0019,openalex:W7133306872,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0020,openalex:W7133307234,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0021,openalex:W7133309137,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0022,openalex:W7134107268,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
RA0023,openalex:W7134108826,,not_attempted,red,no_repo_url_in_openalex_abstract_scan,T053 heuristic from T050 list + T051 registry,high
