case_id,title,pmid_or_doi,journal,year,disease_primary,icd_or_ordo_id,patient_age_group,patient_sex,presentation_summary,features_summary,negative_findings,diagnostic_tests_summary,treatment_summary,outcome,follow_up,has_figures,figure_count,oa_status,fulltext_url,license_note,parse_status,notes
pmid:41743333,Customized Closed-Tray Impression Post for Unknown Implant System: Case Report.,PMID:41743333; DOI:10.1155/crid/3673906,Case reports in dentistry,2026,,,,,Managing implants with unknown systems presents a significant clinical challenge when obtaining an accurate master impression. This case report describes a simple technique for fabricating a customized closed-tray implant impression post and laboratory analog when the implant system cannot be identified. The use of these customized components enabled accurate transfer of the implant position and f,,,,,,,unknown,,yes,,cc by,metadata_only,T062 Europe PMC; manifest=DL09001
pmid:41799635,Sacrococcygeal polymelia: A case report and literature review.,PMID:41799635; DOI:10.1016/j.jpra.2026.01.023,JPRAS open,2026,,,,,"Polymelia, first described by Macewen in 1877, is a rare congenital disorder characterized by the presence of accessory limbs. This case report describes a 2-month-old infant with sacrococcygeal polymelia and reviews the literature on pathophysiology, clinical presentations, and surgical management. Following the initial assessment, imaging studies, and clinical evaluation, the accessory limb was ",,,,,,,unknown,,yes,,cc by,metadata_only,T062 Europe PMC; manifest=DL09002
pmid:41736847,Compulsory Psychiatric Treatment at Home in the Netherlands: A Case Report.,PMID:41736847; DOI:10.1155/crps/4088726,Case reports in psychiatry,2026,,,,,"An important aim of the new mental health act implemented in the Netherlands in 2020 was to shift the focus from hospitalization to treatment. The act provides an option for patients' compulsory treatment at home (CTH). Unlike compulsory community treatment (CCT), which allows mental health workers to hospitalize patients involuntarily if they do not comply with treatment. CTH is not provided else",,,,,,,unknown,,yes,,cc by,metadata_only,T062 Europe PMC; manifest=DL09003
pmid:41705524,Pedunculated Hemangioma in the Left Ventricle: Case Report in an Asymptomatic Young Patient.,PMID:41705524; DOI:10.21470/1678-9741-2025-0053,Brazilian journal of cardiovascular surgery,2026,,,,,"Cardiac hemangiomas are benign neoplasms of extremely rare occurrence and, in most cases, asymptomatic, commonly detected incidentally during examinations performed for other clinical indications. To confirm the diagnosis and prevent potential complications, surgical excision followed by histopathological analysis is recommended. In this case report, we describe a left ventricular hemangioma incid",,,,,,,unknown,,yes,,cc by,metadata_only,T062 Europe PMC; manifest=DL09004
pmid:41782281,Leukocytoclastic Vasculitis Induced by Dalbavancin: A Case Report.,PMID:41782281; DOI:10.12659/ajcr.949653,The American journal of case reports,2026,,,,,"BACKGROUND Dalbavancin is a lipoglycopeptide antibiotic largely used to treat serious and complex bacterial infections, particularly those caused by gram-positive bacteria. Its main advantages include a prolonged half-life, which allows for once-weekly dosing, effectiveness against resistant pathogens, most notably, methicillin-resistant Staphylococcus aureus, and a good profile of tolerability an",,,,,,,unknown,,yes,,cc by-nc-nd,metadata_only,T062 Europe PMC; manifest=DL09005
pmid:41810059,Choriocarcinoma in the Cervix: Case Report of a Challenging Differential Diagnosis.,PMID:41810059; DOI:10.1155/crog/3427582,Case reports in obstetrics and gynecology,2026,,,,,"<h4>Background</h4>Primary cervical choriocarcinoma in abortion curettage tissue is extremely rare and represents a diagnostic challenge. It is a serious condition that requires prompt and targeted therapeutic management. This case report describes the diagnostic evaluation, taking into account relevant differential diagnoses and highlighting the importance of a comprehensive diagnostic work-up to",,,,,,,unknown,,yes,,cc by,metadata_only,T062 Europe PMC; manifest=DL09006
pmid:41884188,Hidden Culprit: Stroke-Like Presentation and Seizure Reveal Parasagittal Meningioma: A Case Report.,PMID:41884188; DOI:10.1177/11795476261431558,Clinical medicine insights. Case reports,2026,,,,,"<h4>Introduction</h4>In the acute neurology setting, stroke presentations are considered common relative to other diagnoses, especially among multimorbid elderly presenting with acute neurological changes. Clinicians tend to underestimate the possibility of other rare diagnoses such as brain tumors.<h4>Case report</h4>Here we present a case report of an 80-year-old female who presented to the emer",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T062 Europe PMC; manifest=DL09007
pmid:41767081,The Differential Diagnosis of Coma in the ICU: Hyperacute Postoperative Guillain-Barré Syndrome-A Case Report.,PMID:41767081; DOI:10.1002/ccr3.72064,Clinical case reports,2026,,,,,"Guillain-Barré syndrome (GBS) is a rare, immune-mediated neurological disorder that can be challenging to diagnose in postoperative patients due to atypical manifestations and overlapping conditions. This case report highlights the diagnostic and therapeutic challenges of GBS following vascular surgery. We present the case of a 56-year-old man scheduled for elective femoro-popliteal bypass surgery",,,,,,,unknown,,yes,,cc by,metadata_only,T062 Europe PMC; manifest=DL09008
pmid:41666894,Pediatric Pisiform Dislocation: A Case Report.,PMID:41666894; DOI:10.5811/cpcem.47400,Clinical practice and cases in emergency medicine,2026,,,,,"<h4>Introduction</h4>Dislocations of the pisiform bone are rare, and literature on this injury is sparse. The uncommon nature of this condition, as well as limited data, makes recognition and diagnosis difficult, increasing the chances these injuries may be overlooked. Missing this diagnosis can lead to pain, reduced joint function, and nerve damage.<h4>Case report</h4>We present a case of pediatr",,,,,,,unknown,,yes,,cc by,metadata_only,T062 Europe PMC; manifest=DL09009
pmid:41669003,Pediatric Tibial Plateau Fracture-Dislocation: A Case Report.,PMID:41669003; DOI:10.13107/jocr.2026.v16.i02.6776,Journal of orthopaedic case reports,2026,,,,,"<h4>Introduction</h4>Pediatric tibial plateau fracture-dislocations are extremely rare but can involve serious neurovascular and growth complications, requiring prompt evaluation, appropriate fixation, and long-term monitoring. This is the first case report of a tibial plateau fracture-dislocation in the pediatric population.<h4>Case report</h4>A 13-year-old male fell off a motorized scooter, sust",,,,,,,unknown,,yes,,cc by-nc,metadata_only,T062 Europe PMC; manifest=DL09010
