need_id,description,stakeholder,evidence_hint,notes
UN001,Faster differential diagnosis support for rare presentations,clinicians,literature+cases,
UN002,Reliable cross-site longitudinal imaging,patients,interop,
UN003,Trial-patient matching at scale,patients+research,structured EHR+trials,
UN004,Real-time drug interaction checks with free-text notes,pharmacy,NLP,
UN005,Proactive deterioration prediction with explanations,ICU,monitoring,
UN006,Automated guideline-concordant order sets,hospitals,CDS,
UN007,Patient-tailored education in low-literacy settings,patients,multimodal,
UN008,Faster pathology second opinion,oncology,WSI+telepath,
UN009,Standardized capture of negative findings in imaging reports,radiology,structured reporting,
UN010,Primary care panel risk stratification,PCP,population health,
UN011,Surgical complication prediction with calibrated uncertainty,surgery,EHR+op notes,
UN012,Adverse event mining from EHR narratives,safety,NLP,
UN013,Automated prior auth evidence packets,admin,summarization,
UN014,Home device data integration and alerting,cardiology,IoT,
UN015,Cross-language clinical summarization,ED,translation,
UN016,Federated learning across hospitals without data pooling,research,FL,
UN017,Benchmarks aligned with clinical endpoints not proxy metrics,ML community,benchmark reform,
UN018,Audit trails for clinical AI assistance,compliance,governance,
UN019,Clinician-facing uncertainty communication,all,HCI,
UN020,Low-friction documentation that preserves billing compliance,clinicians,ambient AI,
