task_id,name,former_challenge_or_benchmark,status_reason,notes
gc:VESSEL12,VESSEL12,grand_challenge,API status=CLOSED,https://vessel12.grand-challenge.org/
gc:CRASS,CRASS,grand_challenge,API status=CLOSED,https://crass.grand-challenge.org/
gc:ANODE09,ANODE09,grand_challenge,API status=CLOSED,https://anode09.grand-challenge.org/
gc:CAUSE07,CAUSE07,grand_challenge,API status=CLOSED,https://cause07.grand-challenge.org/
gc:subsolidNodules,Subsolid Nodules,grand_challenge,API status=CLOSED,https://subsolidnodules.grand-challenge.org/
gc:CADDementia,CADDementia,grand_challenge,API status=CLOSED,https://caddementia.grand-challenge.org/
gc:MITOS-ATYPIA-14,MITOS-ATYPIA-14,grand_challenge,API status=CLOSED,https://mitos-atypia-14.grand-challenge.org/
gc:PROMISE12,PROMISE12,grand_challenge,API status=CLOSED,https://promise12.grand-challenge.org/
gc:CAMELYON16,CAMELYON16,grand_challenge,API status=CLOSED,https://camelyon16.grand-challenge.org/
gc:ISBI-AIDA,ISBI-AIDA,grand_challenge,API status=CLOSED,https://isbi-aida.grand-challenge.org/
gc:LUNA16,LUNA16,grand_challenge,API status=CLOSED,https://luna16.grand-challenge.org/
gc:RETOUCH,RETOUCH,grand_challenge,API status=CLOSED,https://retouch.grand-challenge.org/
gc:CATARACTS,CATARACTS,grand_challenge,API status=CLOSED,https://cataracts.grand-challenge.org/
gc:TADPOLE,TADPOLE,grand_challenge,API status=CLOSED,https://tadpole.grand-challenge.org/
gc:CoronARe,CoronARe,grand_challenge,API status=CLOSED,https://coronare.grand-challenge.org/
gc:ICIAR2018-Challenge,ICIAR 2018,grand_challenge,API status=CLOSED,https://iciar2018-challenge.grand-challenge.org/
gc:SLIVER07,SLIVER07,grand_challenge,API status=CLOSED,https://sliver07.grand-challenge.org/
gc:ROCC,ROCC,grand_challenge,API status=CLOSED,https://rocc.grand-challenge.org/
gc:IDRiD,IDRiD,grand_challenge,API status=CLOSED,https://idrid.grand-challenge.org/
gc:EMPIRE10,EMPIRE10,grand_challenge,API status=CLOSED,https://empire10.grand-challenge.org/
gc:LUMIC,LUMIC,grand_challenge,API status=CLOSED,https://lumic.grand-challenge.org/
gc:continuousregistration,Continuous Registration,grand_challenge,API status=CLOSED,https://continuousregistration.grand-challenge.org/
gc:curious2018,CuRIOUS 2018,grand_challenge,API status=CLOSED,https://curious2018.grand-challenge.org/
gc:MoNuSeg,MoNuSeg,grand_challenge,API status=CLOSED,https://monuseg.grand-challenge.org/
gc:PAVES,PAVES,grand_challenge,API status=CLOSED,https://paves.grand-challenge.org/
gc:EAD2019,EAD2019,grand_challenge,API status=CLOSED,https://ead2019.grand-challenge.org/
gc:iChallenges,iChallenges,grand_challenge,API status=CLOSED,https://ichallenges.grand-challenge.org/
gc:PAIP2019,PAIP 2019,grand_challenge,API status=CLOSED,https://paip2019.grand-challenge.org/
gc:curious2019,curious2019,grand_challenge,API status=CLOSED,https://curious2019.grand-challenge.org/
gc:EndoVisSub2019-SCARED,Stereo Correspondence and Reconstruction of Endoscopic Data,grand_challenge,API status=CLOSED,https://endovissub2019-scared.grand-challenge.org/
gc:Gleason2019,Gleason2019,grand_challenge,API status=CLOSED,https://gleason2019.grand-challenge.org/
