link_id,publisher_openalex_id,publisher_title,publisher_year,publisher_venue,publisher_doi,publisher_current_url,publisher_fulltext_status,fallback_openalex_id,fallback_title,fallback_year,fallback_venue,fallback_doi,fallback_url,match_type,eligibility,notes
ARXIVFB0001,W4312465577,Generalizable Cross-modality Medical Image Segmentation via Style Augmentation and Dual Normalization,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52688.2022.02019,,skipped_policy,W4226437303,Generalizable Cross-modality Medical Image Segmentation via Style Augmentation and Dual Normalization,2021,arXiv (Cornell University),10.48550/arxiv.2112.11177,https://arxiv.org/pdf/2112.11177,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0002,W4312528635,HyperSegNAS: Bridging One-Shot Neural Architecture Search with 3D Medical Image Segmentation using HyperNet,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52688.2022.02008,,skipped_policy,W4225349110,HyperSegNAS: Bridging One-Shot Neural Architecture Search with 3D Medical Image Segmentation using HyperNet,2021,arXiv (Cornell University),10.48550/arxiv.2112.10652,https://arxiv.org/pdf/2112.10652,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0003,W4313014623,Incremental Cross-view Mutual Distillation for Self-supervised Medical CT Synthesis,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52688.2022.02002,,skipped_policy,W4226248486,Incremental Cross-view Mutual Distillation for Self-supervised Medical CT Synthesis,2021,arXiv (Cornell University),10.48550/arxiv.2112.10325,https://arxiv.org/pdf/2112.10325,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0004,W7117156463,Non-contrast CT esophageal varices grading through clinical prior-enhanced multi-organ analysis,2025,Medical Image Analysis,10.1016/j.media.2025.103924,https://arxiv.org/pdf/2512.19415,pending,W7117174636,Non-Contrast CT Esophageal Varices Grading through Clinical Prior-Enhanced Multi-Organ Analysis,2025,arXiv (Cornell University),,https://arxiv.org/pdf/2512.19415,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0005,W4415827922,From model based to learned regularization in medical image registration: A comprehensive review,2025,Medical Image Analysis,10.1016/j.media.2025.103854,https://doi.org/10.1016/j.media.2025.103854,skipped_policy,W4405715367,From Model Based to Learned Regularization in Medical Image Registration: A Comprehensive Review,2024,arXiv (Cornell University),10.48550/arxiv.2412.15740,https://arxiv.org/pdf/2412.15740,normalized_title_exact,yes,publisher-title matched to arXiv/preprint fallback
ARXIVFB0006,W4405014208,Probing the limits and capabilities of diffusion models for the anatomic editing of digital twins,2024,npj Digital Medicine,10.1038/s41746-024-01332-0,https://doi.org/10.1038/s41746-024-01332-0,ingested,W4390528590,Probing the Limits and Capabilities of Diffusion Models for the Anatomic Editing of Digital Twins,2023,arXiv (Cornell University),10.48550/arxiv.2401.00247,https://arxiv.org/pdf/2401.00247,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0007,W4405515214,Leveraging ancestral sequence reconstruction for protein representation learning,2024,Nature Machine Intelligence,10.1038/s42256-024-00935-2,,skipped_policy,W4390082939,Leveraging ancestral sequence reconstruction for protein representation learning,2023,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2023.12.20.572683,https://www.biorxiv.org/content/biorxiv/early/2023/12/21/2023.12.20.572683.full.pdf,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0008,W4312740316,Lateral Strain Imaging Using Self-Supervised and Physically Inspired Constraints in Unsupervised Regularized Elastography,2022,IEEE Transactions on Medical Imaging,10.1109/tmi.2022.3230635,,skipped_policy,W4312045691,Lateral Strain Imaging using Self-supervised and Physically Inspired Constraints in Unsupervised Regularized Elastography,2022,arXiv (Cornell University),10.48550/arxiv.2212.08740,https://arxiv.org/pdf/2212.08740,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0009,W4200072305,Self-Supervised monocular depth and ego-Motion estimation in endoscopy: Appearance flow to the rescue,2021,Medical Image Analysis,10.1016/j.media.2021.102338,,skipped_policy,W4303520045,Self-Supervised Monocular Depth and Ego-Motion Estimation in Endoscopy: Appearance Flow to the Rescue,2021,arXiv (Cornell University),10.48550/arxiv.2112.08122,https://arxiv.org/pdf/2112.08122,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0010,W4200311016,Adaptive Contrast for Image Regression in Computer-Aided Disease Assessment,2021,IEEE Transactions on Medical Imaging,10.1109/tmi.2021.3137854,,skipped_policy,W4303182328,Adaptive Contrast for Image Regression in Computer-Aided Disease Assessment,2021,arXiv (Cornell University),10.48550/arxiv.2112.11700,https://arxiv.org/pdf/2112.11700,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0011,W3113155126,"Rethinking medical image reconstruction via shape prior, going deeper and faster: Deep joint indirect registration and reconstruction",2020,Medical Image Analysis,10.1016/j.media.2020.101930,,skipped_policy,W2995359922,"Rethinking Medical Image Reconstruction via Shape Prior, Going Deeper and Faster: Deep Joint Indirect Registration and Reconstruction",2019,arXiv (Cornell University),10.48550/arxiv.1912.07648,https://arxiv.org/pdf/1912.07648,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
ARXIVFB0012,W2978997284,Semi-supervised mp-MRI data synthesis with StitchLayer and auxiliary distance maximization,2019,Medical Image Analysis,10.1016/j.media.2019.101565,,skipped_policy,W2904893058,Semi-supervised mp-MRI Data Synthesis with StitchLayer and Auxiliary Distance Maximization,2018,arXiv (Cornell University),10.48550/arxiv.1812.06625,https://arxiv.org/pdf/1812.06625,normalized_title_exact,no,publisher-title matched to arXiv/preprint fallback
