signal_id,paper_id,clinical_theme,endpoint_hint,evidence_pattern,notes
CS001,openalex:W4392520123,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS002,openalex:W4403420201,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS003,openalex:W4390919221,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS004,openalex:W4391324500,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS005,openalex:W4401511417,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS006,openalex:W4403560485,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS007,openalex:W4398782074,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS008,openalex:W4402223957,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS009,openalex:W4401698185,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS010,openalex:W4392800286,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS011,openalex:W4391616800,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS012,openalex:W4391100658,mental_health,symptom_scale,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS013,openalex:W4392915052,prognosis,mortality,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS014,openalex:W4405721544,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS015,openalex:W4398201968,intervention,clinical_outcome,randomized_or_controlled_trial_mention,T034 seed from T033 harvest title heuristics
CS016,openalex:W4393256907,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS017,openalex:W4391050822,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS018,openalex:W4399120295,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS019,openalex:W4390937667,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS020,openalex:W4402826610,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS021,openalex:W4403782233,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS022,openalex:W4361298490,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS023,openalex:W4381480589,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS024,openalex:W4367041201,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS025,openalex:W4391160310,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS026,openalex:W4399832694,observational,disease_outcome,prospective_design_mention,T034 seed from T033 harvest title heuristics
CS027,openalex:W4398195161,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS028,openalex:W4399834249,diagnosis,diagnostic_accuracy,validation_claim_in_title,T034 seed from T033 harvest title heuristics
CS029,openalex:W4395067252,observational,disease_outcome,retrospective_cohort_mention,T034 seed from T033 harvest title heuristics
CS030,openalex:W4398195179,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
CS031,openalex:W4395067202,intervention,clinical_outcome,randomized_or_controlled_trial_mention,T034 seed from T033 harvest title heuristics
CS032,openalex:W4405534231,general_clinical_ai,composite_outcome,observational_or_model_study_mention,T034 seed from T033 harvest title heuristics
