bottleneck_id,workflow_stage,description,impact_hint,notes
WB001,Order entry and CPOE clicks,ordering,high,
WB002,Inbox triage of abnormal results,results_review,high,
WB003,Image retrieval and comparison access,radiology,high,
WB004,Pre-authorization fax/portal loops,admin,high,
WB005,Discharge summary completion,inpatient,medium,
WB006,Referral coordination and scheduling,ambulatory,medium,
WB007,Tumor board prep packet assembly,oncology,high,
WB008,Pathology-radiology correlation meetings,diagnostics,medium,
WB009,Clinical trial matching chart review,research,high,
WB010,Medication reconciliation at transitions,transitions,high,
WB011,Coding and billing documentation,revenue,medium,
WB012,Prior imaging CD import,radiology,high,
WB013,Multidisciplinary team note synthesis,MDT,medium,
WB014,Patient message volume in portals,primary care,high,
WB015,Lab follow-up closure loops,primary care,high,
WB016,ICU rounding data aggregation,ICU,medium,
WB017,Consent and ethics documentation for AI studies,research,medium,
WB018,Quality improvement chart abstractions,QI,medium,
WB019,Telehealth pre-visit chart prep,virtual,medium,
WB020,Specialty referral letter drafting,referral,low,
