openalex_id,html_path,char_count,year,venue,source_batch,tags_modality,tags_method,title
W2801314571,research_ops/cache/fulltext/T202_W2801314571.html,2908,2025,UvA-DARE (University of Amsterdam),T171_2025_search_llm_clinical,clinical_high_impact,foundation_models|agents,"Tackling the Algorithmic Control Crisis -- the Technical, Legal, and Ethical Challenges of Research into Algorithmic Agents"
W4402853403,research_ops/cache/fulltext/T202_W4402853403.html,752464,2025,Radiology Artificial Intelligence,T171_Radiology_AI_2025_venue_slice,clinical_imaging|radiology,computational_biomedicine|deep_learning|foundation_models,RadioRAG: Online Retrieval–Augmented Generation for Radiology Question Answering
W4403885508,research_ops/cache/fulltext/T202_W4403885508.html,10289928,2025,IEEE Transactions on Medical Imaging,T171_TMI_2025_venue_slice,medical_imaging,computational_biomedicine|deep_learning,Ultrasound Autofocusing: Common Midpoint Phase Error Optimization via Differentiable Beamforming
W4406199489,research_ops/cache/fulltext/T202_W4406199489.html,333056,2025,British Journal of Biomedical Science,T171_2025_search_llm_clinical,clinical_high_impact,foundation_models|agents,Generative AI in Higher Education: Balancing Innovation and Integrity
W4406231153,research_ops/cache/fulltext/T202_W4406231153.html,1794462,2025,arXiv (Cornell University),T111_agent_systems_backfill,machine_learning,agents|foundation_models,Agent Laboratory: Using LLM Agents as Research Assistants
W4406300216,research_ops/cache/fulltext/T202_W4406300216.html,1654166,2025,Molecular Cancer,T171_2025_search_fm_img,medical_imaging,foundation_models|deep_learning,Emerging role of exosomes in cancer therapy: progress and challenges
W4406597797,research_ops/cache/fulltext/T202_W4406597797.html,776777,2025,BMC Medical Education,T171_2025_search_ai_rad,clinical_imaging|radiology,deep_learning|computer_vision,"Medical students’ attitudes toward AI in education: perception, effectiveness, and its credibility"
W4406871476,research_ops/cache/fulltext/T202_W4406871476.html,713806,2025,BMC Medical Education,T171_2025_search_ai_rad,clinical_imaging|radiology,deep_learning|computer_vision,A systematic review of the impact of artificial intelligence on educational outcomes in health professions education
W4406887664,research_ops/cache/fulltext/T202_W4406887664.html,35579,2025,Interactive Journal of Medical Research,T171_2025_search_ai_rad,clinical_imaging|radiology,deep_learning|computer_vision,The Clinicians’ Guide to Large Language Models: A General Perspective With a Focus on Hallucinations
W4407172754,research_ops/cache/fulltext/T202_W4407172754.html,17188,2025,New England Journal of Medicine,T171_2025_search_fm_img,medical_imaging,foundation_models|deep_learning,Endovascular Treatment for Stroke Due to Occlusion of Medium or Distal Vessels
W4407172847,research_ops/cache/fulltext/T202_W4407172847.html,615135,2025,PLoS ONE,T171_2025_search_llm_clinical,clinical_high_impact,foundation_models|agents,Higher education students’ perceptions of ChatGPT: A global study of early reactions
W4407173730,research_ops/cache/fulltext/T202_W4407173730.html,375699,2025,BMJ,T171_2025_search_llm_clinical,clinical_high_impact,foundation_models|agents,FUTURE-AI: international consensus guideline for trustworthy and deployable artificial intelligence in healthcare
W4408158807,research_ops/cache/fulltext/T202_W4408158807.html,1401843,2025,Frontiers in Medicine,T171_2025_search_fm_img,medical_imaging,foundation_models|deep_learning,Regulatory pathways and guidelines for nanotechnology-enabled health products: a comparative review of EU and US frameworks
W4408226143,research_ops/cache/fulltext/T202_W4408226143.html,956956,2025,BMC Medical Informatics and Decision Making,T171_2025_search_llm_clinical,clinical_high_impact,foundation_models|agents,A systematic review of large language model (LLM) evaluations in clinical medicine
W4408273436,research_ops/cache/fulltext/T202_W4408273436.html,910407,2025,Frontiers in Pharmacology,T171_2025_search_llm_clinical,clinical_high_impact,foundation_models|agents,A comprehensive review of methodologies and application to use the real-world data and analytics platform TriNetX
W4409390925,research_ops/cache/fulltext/T202_W4409390925.html,1635468,2025,BMC Medical Education,T171_2025_search_ai_rad,clinical_imaging|radiology,deep_learning|computer_vision,Mapping the use of artificial intelligence in medical education: a scoping review
W4410939981,research_ops/cache/fulltext/T202_W4410939981.html,1422252,2025,Molecular Cancer,T171_2025_search_ai_rad,clinical_imaging|radiology,deep_learning|computer_vision,Current AI technologies in cancer diagnostics and treatment
