openalex_id,pdf_path,txt_path,char_count,page_count,has_body,extract_error,source_url,source_domain_bucket,year,venue,source_batch,tags_modality,tags_method,topic_subtag,title
W2787835810,research_ops/cache/pdfs/T203_W2787835810.pdf,research_ops/parsed/pdfs/T203_W2787835810.txt,69636,13,yes,,https://arxiv.org/pdf/1802.01892,arxiv,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,,Projection onto Epigraph Sets for Rapid Self-Tuning Compressed Sensing MRI
W2884547966,research_ops/cache/pdfs/T203_W2884547966.pdf,research_ops/parsed/pdfs/T203_W2884547966.txt,35980,8,yes,,https://arxiv.org/pdf/1807.10027,arxiv,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,,A Tensor Factorization Method for 3-D Super Resolution With Application to Dental CT
W2886584550,research_ops/cache/pdfs/T203_W2886584550.pdf,research_ops/parsed/pdfs/T203_W2886584550.txt,64155,11,yes,,https://arxiv.org/pdf/1804.04360,arxiv,2018,IEEE Transactions on Medical Imaging,T183_TMI_2018_venue,medical_imaging,deep_learning,,A Recurrent CNN for Automatic Detection and Classification of Coronary Artery Plaque and Stenosis in Coronary CT Angiography
W2891012317,research_ops/cache/pdfs/T203_W2891012317.pdf,research_ops/parsed/pdfs/T203_W2891012317.txt,46773,13,yes,,https://arxiv.org/pdf/1812.01193,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,e-SNLI: Natural Language Inference with Natural Language Explanations
W2902179565,research_ops/cache/pdfs/T203_W2902179565.pdf,research_ops/parsed/pdfs/T203_W2902179565.txt,16357,5,yes,,https://arxiv.org/pdf/1812.01281,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Towards Continuous Domain adaptation for Healthcare
W2902196670,research_ops/cache/pdfs/T203_W2902196670.pdf,research_ops/parsed/pdfs/T203_W2902196670.txt,266106,46,yes,,https://arxiv.org/pdf/1812.02282,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Differential Privacy Techniques for Cyber Physical Systems: A Survey
W2902596162,research_ops/cache/pdfs/T203_W2902596162.pdf,research_ops/parsed/pdfs/T203_W2902596162.txt,52717,17,yes,,https://arxiv.org/pdf/1812.01598,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,"Monocular Total Capture: Posing Face, Body, and Hands in the Wild"
W2903043295,research_ops/cache/pdfs/T203_W2903043295.pdf,research_ops/parsed/pdfs/T203_W2903043295.txt,50985,12,yes,,https://arxiv.org/pdf/1812.00518,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,imaging,Elastic Boundary Projection for 3D Medical Image Segmentation
W2903052031,research_ops/cache/pdfs/T203_W2903052031.pdf,research_ops/parsed/pdfs/T203_W2903052031.txt,60141,12,yes,,https://arxiv.org/pdf/1812.01866,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,other_preprint,Few-shot Object Detection via Feature Reweighting
W2903192250,research_ops/cache/pdfs/T203_W2903192250.pdf,research_ops/parsed/pdfs/T203_W2903192250.txt,16442,5,yes,,https://arxiv.org/pdf/1812.02405,arxiv,2018,arXiv (Cornell University),T183_arxiv2018_medimg,preprint_broad,deep_learning,clinical,Web Applicable Computer-aided Diagnosis of Glaucoma Using Deep Learning
