paper_id,title,year,venue,tags_tool_use,tags_memory,tags_self_evolve,notes
W2988403549,Patients as Agents in Behavioral Health Research and Service Provision: Recommendations to Support the Learning Health System,2019,Applied Clinical Informatics,yes,maybe,maybe,"openalex q=""scientific discovery"" agent biomedical; T112_openalex_enriched"
W4400702513,Large Language Models as Biomedical Hypothesis Generators: A Comprehensive Evaluation,2024,arXiv (Cornell University),maybe,maybe,maybe,"openalex q=""scientific discovery"" agent biomedical; T112_openalex_enriched"
W4408411093,Enhancing diagnostic capability with multi-agents conversational large language models,2025,npj Digital Medicine,yes,maybe,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4413472898,CARE-AD: a multi-agent large language model framework for Alzheimer’s disease prediction using longitudinal clinical notes,2025,npj Digital Medicine,yes,maybe,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4413480510,"Digital Cardiovascular Twins, AI Agents, and Sensor Data: A Narrative Review from System Architecture to Proactive Heart Health",2025,Sensors,yes,maybe,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4411122443,HEAL-KGGen: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Genetic Biomarker-Based Medical Diagnosis,2025,bioRxiv (Cold Spring Harbor Laboratory),yes,yes,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4391899415,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,2024,arXiv (Cornell University),yes,maybe,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4391335084,Enhancing Diagnostic Accuracy through Multi-Agent Conversations: Using Large Language Models to Mitigate Cognitive Bias,2024,arXiv (Cornell University),yes,maybe,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4414379468,MedAgentSim: Self-evolving Multi-agent Simulations for Realistic Clinical Interactions,2025,Lecture notes in computer science,yes,maybe,yes,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4399151368,BioDiscoveryAgent: An AI Agent for Designing Genetic Perturbation Experiments,2024,arXiv (Cornell University),yes,maybe,maybe,"openalex q=""scientific discovery"" agent biomedical; T112_openalex_enriched"
W4402626956,RDguru: A Conversational Intelligent Agent for Rare Diseases,2024,IEEE Journal of Biomedical and Health Informatics,yes,maybe,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4413065709,Toward the Autonomous AI Doctor: Quantitative Benchmarking of an Autonomous Agentic AI Versus Board-Certified Clinicians in a Real World Setting,2025,medRxiv,yes,maybe,maybe,openalex q=clinical LLM multi-agent diagnostic; T112_openalex_enriched
W4403586302,Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,2024,arXiv (Cornell University),maybe,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4412709685,The Virtual Lab of AI agents designs new SARS-CoV-2 nanobodies,2025,Nature,yes,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4404283941,The Virtual Lab: AI Agents Design New SARS-CoV-2 Nanobodies with Experimental Validation,2024,bioRxiv (Cold Spring Harbor Laboratory),yes,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4406231153,Agent Laboratory: Using LLM Agents as Research Assistants,2025,arXiv (Cornell University),yes,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4396974446,CellAgent: LLM-Driven Multi-Agent Framework for Natural Language-Based Single-Cell Analysis,2024,bioRxiv (Cold Spring Harbor Laboratory),yes,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4411981000,Generative Design of Functional Metal Complexes Utilizing the Internal Knowledge and Reasoning Capability of Large Language Models,2025,Journal of the American Chemical Society,maybe,yes,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4397028247,LLM and Simulation as Bilevel Optimizers: A New Paradigm to Advance Physical Scientific Discovery,2024,arXiv (Cornell University),maybe,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4388650906,Large Language Models are Zero Shot Hypothesis Proposers,2023,arXiv (Cornell University),maybe,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4403324055,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,2024,arXiv (Cornell University),yes,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
W4402345509,LAB-Bench: Measuring Capabilities of Language Models for Biology Research,2024,arXiv (Cornell University),maybe,maybe,maybe,"openalex q=""scientific discovery"" agent LLM; T112_openalex_enriched"
