challenge_id,name,task,dataset_refs,status,metric,url,organizer,notes,lifecycle_bucket
gc:VESSEL12,VESSEL12,The VESSEL12 challenge compares methods for automatic (and semi-automatic) segmentation of blood vessels in the lungs from CT images.,,CLOSED,,https://vessel12.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/VESSEL12/; publications=https://doi.org/10.1016/j.media.2014.07.003,ended
gc:CRASS,CRASS,CRASS stands for Chest Radiograph Anatomical Structure Segmentation. The challenge currently invites participants to send in results for clavicle segmentation algorithms.,,CLOSED,,https://crass.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/CRASS/; publications=,ended
gc:ANODE09,ANODE09,"ANODE09 is an initiative to compare systems that perform automatic detection of pulmonary nodules in chest CT scans on a single common database, with a single evaluation protocol.",,CLOSED,,https://anode09.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/ANODE09/; publications=https://doi.org/10.1016/j.media.2010.05.005,ended
gc:CAUSE07,CAUSE07,The goal of CAUSE07 is to compare different algorithms to segment the caudate nucleaus from brain MRI scans.,,CLOSED,,https://cause07.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/CAUSE07/; publications=,ended
gc:subsolidNodules,Subsolid Nodules,We are presenting results of our segmentation method for subsolid lung nodules.,,CLOSED,,https://subsolidnodules.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/subsolidNodules/; publications=,ended
gc:CADDementia,CADDementia,"We seek algorithms that perform multi-class classification of patients with Alzheimer’s disease (AD), patients with mild cognitive impairment (MCI) and healthy controls (CN) using multi-center structu...",,CLOSED,,https://caddementia.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/CADDementia/; publications=https://doi.org/10.1016/j.neuroimage.2015.01.048,ended
gc:MITOS-ATYPIA-14,MITOS-ATYPIA-14,"MITOS & ATYPIA 14 Contest, hosted by conference ICPR 2014Detection of mitosis and evaluation of nuclear atypia on breast cancer H&E stained images",,CLOSED,,https://mitos-atypia-14.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/MITOS-ATYPIA-14/; publications=,ended
gc:LOLA11,LOLA11,"The goal of LOLA11 (LObe and Lung Analysis 2011) is to compare methods for (semi-)automatic segmentation of the lungs and lobes from chest computed tomography scans. Any team, whether from academia or...",,OPEN,,https://lola11.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/LOLA11/; publications=,active
gc:PROMISE12,PROMISE12,The goal of this challenge is to compare interactive and (semi)-automatic segmentation algorithms for MRI of the prostate.,,CLOSED,,https://promise12.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/PROMISE12/; publications=https://doi.org/10.1016/j.media.2013.12.002,ended
gc:CAMELYON16,CAMELYON16,The goal of this challenge is to evaluate new and existing algorithms for automated detection of cancer metastasis in digitized lymph node tissue sections. Two large datasets from both the Radboud Uni...,,CLOSED,,https://camelyon16.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/CAMELYON16/; publications=https://doi.org/10.1001/jama.2017.14585,ended
gc:ISBI-AIDA,ISBI-AIDA,ISBI Endoscopic Image Challenge,,CLOSED,,https://isbi-aida.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/ISBI-AIDA/; publications=,ended
gc:LUNA16,LUNA16,The LUNA16 challenge: automatic nodule detection on chest CT,,CLOSED,,https://luna16.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/LUNA16/; publications=https://doi.org/10.1016/j.media.2017.06.015,ended
gc:CAMELYON17,CAMELYON17,Automated detection and classification of breast cancer metastases in whole-slide images of histological lymph node sections. This task has high clinical relevance and would normally require extensive...,,OPEN,,https://camelyon17.grand-challenge.org/,Grand Challenge,lifecycle_bucket=active; api=https://grand-challenge.org/api/v1/challenges/CAMELYON17/; publications=https://doi.org/10.1109/tmi.2018.2867350,active
gc:RETOUCH,RETOUCH,Retinal OCT Fluid Challenge (RETOUCH) compares automated algorithms that are able to detect and segment different types of retinal fluid in optical coherence tomography (OCT).,,CLOSED,,https://retouch.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/RETOUCH/; publications=https://doi.org/10.1109/tmi.2019.2901398,ended
gc:CATARACTS,CATARACTS,The Challenge on Automatic Tool Annotation for cataRACT Surgery aims at evaluating image-based tool detection algorithms in the context of the most common surgical procedure in the world.,,CLOSED,,https://cataracts.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/CATARACTS/; publications=https://doi.org/10.1016/j.media.2018.11.008,ended
gc:TADPOLE,TADPOLE,The Alzheimer’s Disease Prediction Of Longitudinal Evolution (TADPOLE) challenge is brought to you by the EuroPOND consortium in collaboration with the Alzheimer’s Disease Neuroimaging Initiative (ADN...,,CLOSED,,https://tadpole.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/TADPOLE/; publications=https://arxiv.org/abs/1805.03909;https://arxiv.org/abs/2002.03419,ended
gc:CoronARe,CoronARe,"CoronARe ranks state-of-the-art methods in symbolic and tomographic coronary artery reconstruction from interventional C-arm rotational angiography. Specifically, we will benchmark the performance of ...",,CLOSED,,https://coronare.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/CoronARe/; publications=,ended
gc:ICIAR2018-Challenge,ICIAR 2018,Can you develop a method for automatic detection of cancerous regions in breast cancer histology images?,,CLOSED,,https://iciar2018-challenge.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/ICIAR2018-Challenge/; publications=https://doi.org/10.1016/j.media.2019.05.010,ended
gc:SLIVER07,SLIVER07,The goal of this competition is to compare different algorithms to segment the liver from clinical 3D computed tomography (CT) scans.,,CLOSED,,https://sliver07.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/SLIVER07/; publications=https://doi.org/10.1109/tmi.2009.2013851,ended
gc:ROCC,ROCC,Retinal OCT Classification Challenge (ROCC) is organized as a one day Challenge in conjunction with MVIP2017. The goal of this challenge is to call different automated algorithms that are able to dete...,,CLOSED,,https://rocc.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/ROCC/; publications=,ended
gc:IDRiD,IDRiD,"This challenge evaluates automated techniques for analysis of fundus photographs. We target segmentation of retinal lesions like exudates, microaneurysms, and hemorrhages and detection of the optic di...",,CLOSED,,https://idrid.grand-challenge.org/,Grand Challenge,lifecycle_bucket=ended; api=https://grand-challenge.org/api/v1/challenges/IDRiD/; publications=https://doi.org/10.1016/j.media.2019.101561,ended
